VehicleId,DOL Vehicle ID,VIN (1-10),2020 Census Tract,City,City URI,Postal Code,Model Year,Make,Make URI,Model,Model URI,Electric Vehicle Type,Electric Vehicle Type URI,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range
VID_JTMAB3FV4M_244817681,244817681,JTMAB3FV4M,53061050200,Edmonds,https://www.wikidata.org/wiki/Q1055845,98026,2021,Toyota,https://www.wikidata.org/wiki/Q53268,Toyota RAV4 EV,https://www.wikidata.org/wiki/Q2655621,plug-in hybrid,https://www.wikidata.org/wiki/Q1483388,Clean Alternative Fuel Vehicle Eligible,42
VID_5YJSA1CP5C_127297908,127297908,5YJSA1CP5C,53073000101,Bellingham,https://www.wikidata.org/wiki/Q430267,98226,2012,"Tesla, Inc.",https://www.wikidata.org/wiki/Q478214,Tesla Model S,https://www.wikidata.org/wiki/Q1463050,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Clean Alternative Fuel Vehicle Eligible,265
VID_WA1VAAGE9K_208308362,208308362,WA1VAAGE9K,53061050700,Edmonds,https://www.wikidata.org/wiki/Q1055845,98020,2019,Audi AG,https://www.wikidata.org/wiki/Q23317,Audi e-tron,https://www.wikidata.org/wiki/Q56669231,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Clean Alternative Fuel Vehicle Eligible,204
VID_1G1FY6S06L_127147506,127147506,1G1FY6S06L,53053072603,Anderson Island,https://www.wikidata.org/wiki/Q3497827,98303,2020,Chevrolet,https://www.wikidata.org/wiki/Q29570,Chevrolet Bolt,https://www.wikidata.org/wiki/Q19580435,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Clean Alternative Fuel Vehicle Eligible,259
VID_JTDKN3DP7F_347284108,347284108,JTDKN3DP7F,53061041303,Everett,https://www.wikidata.org/wiki/Q392599,98203,2015,Toyota,https://www.wikidata.org/wiki/Q53268,Toyota Prius (XW30),https://www.wikidata.org/wiki/Q7830858,plug-in hybrid,https://www.wikidata.org/wiki/Q1483388,Not eligible due to low battery range,6
VID_3FMTK2SU9P_264301481,264301481,3FMTK2SU9P,53041970400,Centralia,https://www.wikidata.org/wiki/Q868700,98531,2023,Ford,https://www.wikidata.org/wiki/Q44294,Ford Mustang Mach-E,https://www.wikidata.org/wiki/Q75419891,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Eligibility unknown as battery range has not been researched,0
VID_WVG6YVEB7S_279316824,279316824,WVG6YVEB7S,53033032328,Redmond,https://www.wikidata.org/wiki/Q223718,98053,2025,Volkswagen Group,https://www.wikidata.org/wiki/Q156578,Volkswagen ID. Buzz,https://www.wikidata.org/wiki/Q30765198,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Eligibility unknown as battery range has not been researched,0
VID_5YJ3E1EB1N_207510145,207510145,5YJ3E1EB1N,53053070307,Bonney Lake,https://www.wikidata.org/wiki/Q657810,98391,2022,"Tesla, Inc.",https://www.wikidata.org/wiki/Q478214,Tesla Model 3,https://www.wikidata.org/wiki/Q7705507,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Eligibility unknown as battery range has not been researched,0
VID_5YJXCBE23L_2097994,2097994,5YJXCBE23L,53033024100,Clyde Hill,https://www.wikidata.org/wiki/Q1505600,98004,2020,"Tesla, Inc.",https://www.wikidata.org/wiki/Q478214,Tesla Model X,https://www.wikidata.org/wiki/Q1634161,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Clean Alternative Fuel Vehicle Eligible,293
VID_WMEFJ9BA3J_200497587,200497587,WMEFJ9BA3J,53035080102,Bremerton,https://www.wikidata.org/wiki/Q695417,98310,2018,Smart,https://www.wikidata.org/wiki/Q156490,Smart EQ fortwo,https://www.wikidata.org/wiki/Q97374899,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Clean Alternative Fuel Vehicle Eligible,58
VID_1FT6W1EV8P_273933978,273933978,1FT6W1EV8P,53065951401,Nine Mile Falls,https://www.wikidata.org/wiki/Q3341970,99026,2023,Ford,https://www.wikidata.org/wiki/Q44294,Ford F-150 Lightning,https://www.wikidata.org/wiki/Q99642802,battery electric vehicle,https://www.wikidata.org/wiki/Q1076882,Eligibility unknown as battery range has not been researched,0
VID_YV4BR0DM4M_166159801,166159801,YV4BR0DM4M,53033032003,Maple Valley,https://www.wikidata.org/wiki/Q988204,98038,2021,AB Volvo,https://www.wikidata.org/wiki/Q163810,Volvo XC60,https://www.wikidata.org/wiki/Q956861,plug-in hybrid,https://www.wikidata.org/wiki/Q1483388,Not eligible due to low battery range,18
